0 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/PD908F2M1Y | 1
1 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Wtf with this tweet I thought it was a parody account! | 0
2 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump More like BITCH HUNT!😂😂😂 | 0
3 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Must be some big news coming from Muelers office today. Maybe Manafort flipped.  Hes been talking. | 1
4 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump MAGA!! | 2
5 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump When all is said and done, and the truth is out there for all to see, the thing that will amaze me… https://t.co/nG7WewokRA | 0
6 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/DYhjSPPXJg | 1
7 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/Lk51Kcl12C | 0
8 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Damn lot of witches getting indicted. Making Salem look like a sideshow. \n\nWho is next to have the… https://t.co/IXCx1MlpId | 0
9 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump 🤡 | 1
10 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Only 35% of Americans believe your lies. Once Mueller reveals the extent of your crimes, the number will be even lower. | 0
11 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump GUILTY! | 0
12 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Witches plead guilty.\n\nLots of indicted witches in expensive suits.\n\nGrand juries dont play Twitter games. | 0
13 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/Qq3ekwfZbn | 0
14 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Worried about Hope Hicks? | 0
15 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump That’s what Nixon said, too. | 0
16 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump  https://t.co/kde1oYGjqv | 0
17 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump You misspelled\nYou are a witch cunt | 0
18 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump Yep, Muellers already found a bunch and soon a few more will be added including you, Beavis (… https://t.co/ScdUX6uL2r | 0
19 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump You must be nervous about Hope Hicks testifying today!😂😂😂😝 | 0
20 | Donald J. Trump | WITCH HUNT! | @realDonaldTrump so presidential. | 0
